Food Name,Sample Code,Product Description,Food Group,Country of Origin,Intended Use,Sample Type,Sub Sample,Sample Collection Date,Reason Collected,Human Illness Flag,Sampling Location Type,Sampling Location City Name,Sampling Location Province,Sampling Location Country,Lab Name,Analysis Completion Date,Result Operator,Result Value,Units of measurement,Analyte Name,Analyte Group,LOD,LOQ,Basis for Result,Quality Assurance,Result Comments,Test Method Name,Test Method Code,Instrumentation,Method Comments,Project Code,Project Name,Project Description,Organization
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2001-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,2001-01-15,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Legacy POPs,2002-12-15,=,35.1,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2001.PCB,Total Diet Study 2001 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2002-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,2002-01-15,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Legacy POPs,2003-12-15,=,7.906766917,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2002.PCB,Total Diet Study 2002 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2003-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2003-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Legacy POPs,2004-12-15,=,24.7,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2003.PCB,Total Diet Study 2003 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2007-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2007-09-15,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Legacy POPs,2008-12-15,=,21.2,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2007.PCB,Total Diet Study 2007 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2009-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2009-09-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Legacy POPs,2010-12-15,=,22.7,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2009.PCB,Total Diet Study 2009 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2013-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2013-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Legacy POPs,2014-12-15,=,27.9,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2013.PCB,Total Diet Study 2013 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners Cereal, Vegetable, Meat",TDS2015-LL03-PCB,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2015-10-15,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Legacy POPs,2016-12-15,=,27.85749425,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2015F.PCB,Total Diet Study 2015 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",LL04-TDS2005-PCB,,Babyfood,Unknown,,Composite,Yes,2005-05-01,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,HC FD BCS FRD Legacy POPs,2011-06-01,=,14.1,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2005.PCB,Total Diet Study 2005 Polychlorinated biphenyl,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",LL04-TDS2006-PCB,,Babyfood,Unknown,,Composite,Yes,2006-09-01,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Legacy POPs,2014-06-01,=,30.6,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2006.PCBs,Total Diet Study 2006 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1992-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1992-09-15,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,<LOD/MDL,0,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1992.PCB,Total Diet Study 1992 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1993-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1993-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,399,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1993.PCB,Total Diet Study 1993 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1994S-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1994-07-15,Surveillance,No,Grocery Store,Winnipeg,Manitoba,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,80,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab used only QA and reference standards during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1994.PCB,Total Diet Study 1994 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1994W-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1994-01-15,Surveillance,No,Grocery Store,Halifax,Nova Scotia,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,383,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab used only QA and reference standards during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1994.PCB,Total Diet Study 1994 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1995S-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1995-07-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,223,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1995.PCB,Total Diet Study 1995 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1995W-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1995-01-15,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,63,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1995.PCB,Total Diet Study 1995 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1996-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1996-01-15,Surveillance,No,Grocery Store,Toronto,Ontario,Canada,HC FD BCS FRD Legacy POPs,1998-01-15,=,299,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1996.PCB,Total Diet Study 1996 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS1998-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,1998-01-15,Surveillance,No,Grocery Store,Whitehorse,Yukon,Canada,HC FD BCS FRD Legacy POPs,2000-12-15,=,25.094,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS1998.PCB,Total Diet Study 1998 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2000-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,2000-01-15,Surveillance,No,Grocery Store,Ottawa,Ontario,Canada,HC FD BCS FRD Legacy POPs,2002-01-15,=,62.6,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2000.PCB,Total Diet Study 2000 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2001-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,2001-01-15,Surveillance,No,Grocery Store,St. John's,Newfoundland and Labrador,Canada,HC FD BCS FRD Legacy POPs,2002-12-15,=,57.1,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2001.PCB,Total Diet Study 2001 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2002-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,,Composite,Yes,2002-01-15,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Legacy POPs,2003-12-15,=,11.85646818,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2002.PCB,Total Diet Study 2002 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2003-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2003-09-15,Surveillance,No,Grocery Store,Montreal,Quebec,Canada,HC FD BCS FRD Legacy POPs,2004-12-15,=,47.6,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2003.PCB,Total Diet Study 2003 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2007-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2007-09-15,Surveillance,No,Grocery Store,Vancouver,British Columbia,Canada,HC FD BCS FRD Legacy POPs,2008-12-15,=,23.3,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2007.PCB,Total Diet Study 2007 Polychlorinated Biphenyls,,Health Canada
"Baby Food, Dinners, Meat Or Poultry & Vegetable",TDS2009-LL04-PCB,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Babyfood,Unknown,Ready-to-eat,Composite,Yes,2009-09-01,Surveillance,No,Grocery Store,Calgary,Alberta,Canada,HC FD BCS FRD Legacy POPs,2010-12-15,=,14.4,pg/g,Total PCB,Polychlorinated Biphenyls (PCBs),0,,As consumed,Lab successfully participated in relevant proficiency tests during sampling and analysis,LOD is not provided as each congener used to tabulate the results has a different LOD./La limite de détection (LD) n’est pas indiquée étant donné que chaque congénère utilisé aux fins du calcul des résultats a une LD différente,Solvent extraction of PCBs,,Gas chromatograph (GC)-High resolution mass spectrometer (HRMS),,BCS.TDS2009.PCB,Total Diet Study 2009 Polychlorinated Biphenyls,,Health Canada
