Sample Type / Type d'échantillon,Month/Mois,Year/Année,Location/Emplacement,Volume Collected/Volume prélevé (L),Activity/Activité (Bq/L),Error/Erreur (Bq/L),Activity/Activité (Bq/m^3),Error/Erreur (Bq/m^3),Comments/Commentaires
Vapour/Vapeur,1,2000,GE2,0.01,44,4,0.098,0.008,
Vapour/Vapeur,1,2000,GE3,0.01,15,3,0.045,0.009,
Vapour/Vapeur,1,2000,GE6,0.01,76,4,0.139,0.008,
Vapour/Vapeur,1,2000,GE7,0.01,313,7,0.812,0.019,
Vapour/Vapeur,1,2000,LE1,0.02,13,3,0.047,0.012,
Vapour/Vapeur,1,2000,LE2,0.02,13,3,0.053,0.012,
Vapour/Vapeur,1,2000,LE3,0,9,3,0.008,0.003,
Vapour/Vapeur,1,2000,LE4,0.01,4,3,0.006,0.004,
Vapour/Vapeur,1,2000,LE7,0.02,2,3,0.008,0.015,
Vapour/Vapeur,1,2000,LE8,0.02,18,3,0.057,0.01,
Vapour/Vapeur,1,2000,OA2,0.02,27,3,0.079,0.01,
Vapour/Vapeur,1,2000,PI12,0.01,40,4,0.116,0.011,
Vapour/Vapeur,2,2000,GE2,0.02,57,4,0.181,0.013,
Vapour/Vapeur,2,2000,GE3,0.02,22,3,0.068,0.01,
Vapour/Vapeur,2,2000,GE4,0.01,71,4,0.161,0.01,
Vapour/Vapeur,2,2000,GE6,0.01,74,4,0.166,0.01,
Vapour/Vapeur,2,2000,GE7,0.02,279,7,0.832,0.021,
Vapour/Vapeur,2,2000,LE1,0.02,39,4,0.159,0.015,
Vapour/Vapeur,2,2000,LE2,0.02,59,4,0.259,0.018,
Vapour/Vapeur,2,2000,LE3,0.02,2,3,0.009,0.013,
Vapour/Vapeur,2,2000,LE4,0.02,-2,3,-0.009,0.01,
Vapour/Vapeur,2,2000,LE7,0.02,-2,3,-0.01,0.013,
Vapour/Vapeur,2,2000,LE8,0.02,-2,3,-0.007,0.01,
Vapour/Vapeur,2,2000,OA2,0.01,16,3,0.04,0.008,
Vapour/Vapeur,2,2000,PI12,0.01,57,4,0.134,0.009,
Vapour/Vapeur,3,2000,GE2,0.02,28,3,0.118,0.014,
Vapour/Vapeur,3,2000,GE3,0.02,11,3,0.048,0.013,
Vapour/Vapeur,3,2000,GE4,0.02,60,4,0.204,0.014,
Vapour/Vapeur,3,2000,GE6,0.01,166,6,0.527,0.018,
Vapour/Vapeur,3,2000,GE7,0.02,340,8,1.47,0.033,
Vapour/Vapeur,3,2000,LE1,0.02,27,3,0.12,0.015,
Vapour/Vapeur,3,2000,LE2,0.02,70,4,0.304,0.018,
Vapour/Vapeur,3,2000,LE3,0.01,9,3,0.016,0.005,
Vapour/Vapeur,3,2000,LE4,0.02,2,3,0.007,0.012,
Vapour/Vapeur,3,2000,LE7,0.02,0,3,0,0.011,
Vapour/Vapeur,3,2000,LE8,0.02,1,3,0.003,0.012,
Vapour/Vapeur,3,2000,OA2,0.02,5,3,0.02,0.011,
Vapour/Vapeur,3,2000,PI12,0.02,73,4,0.288,0.017,
Vapour/Vapeur,4,2000,GE2,0.02,44,4,0.145,0.012,
Vapour/Vapeur,4,2000,GE3,0.02,18,3,0.062,0.011,
Vapour/Vapeur,4,2000,GE4,0.02,65,4,0.601,0.038,
Vapour/Vapeur,4,2000,GE6,0.02,56,4,0.185,0.013,
Vapour/Vapeur,4,2000,GE7,0.02,426,8,1.51,0.029,
Vapour/Vapeur,4,2000,LE1,0.02,15,3,0.059,0.012,
Vapour/Vapeur,4,2000,LE2,0.02,49,4,0.2,0.016,
Vapour/Vapeur,4,2000,LE3,0.02,4,3,0.017,0.012,
Vapour/Vapeur,4,2000,LE4,0,6,4,0.006,0.004,
Vapour/Vapeur,4,2000,LE7,0.02,-2,3,-0.006,0.011,
Vapour/Vapeur,4,2000,LE8,0.02,4,3,0.019,0.012,
Vapour/Vapeur,4,2000,OA2,0.02,4,3,0.016,0.011,
Vapour/Vapeur,4,2000,PI12,0.02,52,4,0.223,0.017,
Vapour/Vapeur,5,2000,GE2,0.01,30,3,0.225,0.024,
Vapour/Vapeur,5,2000,GE3,0.02,19,3,0.17,0.027,
Vapour/Vapeur,5,2000,GE4,0.02,23,3,0.233,0.032,
Vapour/Vapeur,5,2000,GE6,0.02,40,3,0.356,0.031,
Vapour/Vapeur,5,2000,GE7,0.02,268,7,2.55,0.064,
Vapour/Vapeur,5,2000,LE1,0.02,35,3,0.358,0.035,
Vapour/Vapeur,5,2000,LE2,0.02,64,4,0.658,0.041,
Vapour/Vapeur,5,2000,LE3,0.01,13,3,0.062,0.014,
Vapour/Vapeur,5,2000,LE4,0.02,8,3,0.084,0.028,
Vapour/Vapeur,5,2000,LE7,0.02,3,3,0.032,0.032,
Vapour/Vapeur,5,2000,LE8,0.02,5,3,0.041,0.02,
Vapour/Vapeur,5,2000,OA2,0.02,3,3,,,
Vapour/Vapeur,5,2000,PI12,0.02,30,3,0.276,0.03,
Vapour/Vapeur,6,2000,GE2,0.02,29,3,0.3,0.033,
Vapour/Vapeur,6,2000,GE3,0.02,19,3,0.199,0.031,
Vapour/Vapeur,6,2000,GE4,0.02,10,3,0.091,0.026,
Vapour/Vapeur,6,2000,GE6,0.02,23,3,0.246,0.033,
Vapour/Vapeur,6,2000,GE7,0.02,138,5,1.51,0.056,
Vapour/Vapeur,6,2000,LE1,0.02,31,3,0.311,0.033,
Vapour/Vapeur,6,2000,LE2,0.02,102,5,0.997,0.045,
Vapour/Vapeur,6,2000,LE3,0.01,10,3,0.065,0.018,
Vapour/Vapeur,6,2000,LE4,0.02,11,3,0.11,0.028,
Vapour/Vapeur,6,2000,LE7,0.02,5,3,0.045,0.024,
Vapour/Vapeur,6,2000,LE8,0.02,2,3,0.022,0.026,
Vapour/Vapeur,6,2000,OA2,0.02,7,3,0.068,0.027,
Vapour/Vapeur,6,2000,PI12,0.02,35,3,0.339,0.033,
Vapour/Vapeur,7,2000,GE2,0.02,22,3,0.182,0.026,
Vapour/Vapeur,7,2000,GE3,0.02,15,3,0.126,0.024,
Vapour/Vapeur,7,2000,GE4,0.02,7,3,0.073,0.027,
Vapour/Vapeur,7,2000,GE6,0.02,22,3,0.183,0.025,
Vapour/Vapeur,7,2000,GE7,0.02,42,4,0.368,0.031,
Vapour/Vapeur,7,2000,LE1,0.02,77,4,0.756,0.041,
Vapour/Vapeur,7,2000,LE2,0.02,77,4,0.793,0.043,
Vapour/Vapeur,7,2000,LE3,0.02,20,3,0.213,0.032,
Vapour/Vapeur,7,2000,LE4,0.02,11,3,0.1,0.027,
Vapour/Vapeur,7,2000,LE7,0.02,0,3,0.003,0.031,
Vapour/Vapeur,7,2000,LE8,0.02,-2,2,-0.02,0.024,
Vapour/Vapeur,7,2000,OA2,0.02,1,3,0.007,0.025,
Vapour/Vapeur,7,2000,PI12,0.02,44,4,0.475,0.038,
Vapour/Vapeur,8,2000,GE2,0.02,18,3,0.194,0.033,
Vapour/Vapeur,8,2000,GE3,0.02,11,3,0.114,0.03,
Vapour/Vapeur,8,2000,GE4,0.02,5,3,0.067,0.032,
Vapour/Vapeur,8,2000,GE6,0.02,34,3,0.317,0.031,
Vapour/Vapeur,8,2000,GE7,0.02,60,4,0.667,0.042,
Vapour/Vapeur,8,2000,LE1,0.02,55,4,0.543,0.037,
Vapour/Vapeur,8,2000,LE2,0.02,149,5,1.34,0.047,
Vapour/Vapeur,8,2000,LE3,0.02,10,3,0.05,0.013,
Vapour/Vapeur,8,2000,LE4,0.01,8,3,0.04,0.014,
Vapour/Vapeur,8,2000,LE7,0.02,1,3,0.012,0.022,
Vapour/Vapeur,8,2000,LE8,0.02,3,3,0.028,0.025,
Vapour/Vapeur,8,2000,OA2,0.02,2,3,0.016,0.026,
Vapour/Vapeur,8,2000,PI12,0.02,30,3,0.292,0.031,
Vapour/Vapeur,9,2000,GE2,0.02,105,5,0.883,0.039,
Vapour/Vapeur,9,2000,GE3,0.02,27,3,0.237,0.027,
Vapour/Vapeur,9,2000,GE4,0.02,146,5,1.24,0.044,
Vapour/Vapeur,9,2000,GE6,0.02,64,4,0.527,0.032,
Vapour/Vapeur,9,2000,GE7,0.02,332,7,2.94,0.064,
Vapour/Vapeur,9,2000,LE1,0.02,25,3,0.223,0.028,
Vapour/Vapeur,9,2000,LE2,0.02,93,4,1.02,0.048,
Vapour/Vapeur,9,2000,LE4,0.01,9,3,0.058,0.017,
Vapour/Vapeur,9,2000,LE7,0.02,4,3,0.042,0.025,
Vapour/Vapeur,9,2000,LE8,0.02,1,3,0.012,0.021,
Vapour/Vapeur,9,2000,OA2,0.02,33,3,0.305,0.03,
Vapour/Vapeur,9,2000,PI12,0.02,20,3,0.185,0.028,
Vapour/Vapeur,10,2000,GE2,0.02,34,3,0.161,0.015,
Vapour/Vapeur,10,2000,GE3,0.02,12,3,0.055,0.013,
Vapour/Vapeur,10,2000,GE4,0.02,10,3,0.035,0.01,
Vapour/Vapeur,10,2000,GE6,0.02,25,3,0.104,0.013,
Vapour/Vapeur,10,2000,GE7,0.02,168,5,0.766,0.025,
Vapour/Vapeur,10,2000,LE1,0.02,10,3,0.046,0.012,
Vapour/Vapeur,10,2000,LE2,0.02,100,4,0.348,0.016,
Vapour/Vapeur,10,2000,LE3,0.02,4,3,0.018,0.012,
Vapour/Vapeur,10,2000,LE4,0.02,4,3,0.018,0.012,
Vapour/Vapeur,10,2000,LE7,0.02,3,3,,,Saturated/Saturée
Vapour/Vapeur,10,2000,LE8,0.02,4,3,0.02,0.011,
Vapour/Vapeur,10,2000,OA2,0.02,11,3,0.049,0.012,
Vapour/Vapeur,10,2000,PI12,0.02,26,3,0.104,0.013,
Vapour/Vapeur,11,2000,GE2,0.02,12,3,0.055,0.013,
Vapour/Vapeur,11,2000,GE3,0.02,15,3,,,
Vapour/Vapeur,11,2000,GE4,0.01,7,3,0.022,0.008,
Vapour/Vapeur,11,2000,GE6,0.02,23,3,,,
Vapour/Vapeur,11,2000,GE7,0.02,171,5,0.815,0.026,
Vapour/Vapeur,11,2000,LE1,0.02,12,3,0.052,0.012,
Vapour/Vapeur,11,2000,LE2,0.02,17,3,0.097,0.017,
Vapour/Vapeur,11,2000,LE3,0.02,4,3,0.018,0.011,
Vapour/Vapeur,11,2000,LE4,0.02,3,3,0.014,0.011,
Vapour/Vapeur,11,2000,LE7,0.02,3,3,0.012,0.01,
Vapour/Vapeur,11,2000,LE8,0.02,0,2,0.001,0.011,
Vapour/Vapeur,11,2000,OA2,0.02,8,3,0.038,0.012,
Vapour/Vapeur,11,2000,PI12,0.02,32,3,0.151,0.015,
Vapour/Vapeur,12,2000,GE2,0.01,36,3,0.095,0.009,
Vapour/Vapeur,12,2000,GE3,0.02,14,3,0.046,0.009,
Vapour/Vapeur,12,2000,GE4,0.01,41,3,0.098,0.008,
Vapour/Vapeur,12,2000,GE6,0.01,71,4,0.215,0.012,
Vapour/Vapeur,12,2000,GE7,0.01,205,6,0.632,0.018,
Vapour/Vapeur,12,2000,LE1,0.02,17,3,0.071,0.012,
Vapour/Vapeur,12,2000,LE2,0.01,27,3,0.076,0.009,
Vapour/Vapeur,12,2000,LE3,0.01,4,3,0.012,0.007,
Vapour/Vapeur,12,2000,LE4,0.02,4,3,0.012,0.009,
Vapour/Vapeur,12,2000,LE7,0.02,3,3,0.015,0.013,
Vapour/Vapeur,12,2000,LE8,0.02,0,2,0.001,0.011,
Vapour/Vapeur,12,2000,OA2,0.01,11,3,0.029,0.007,
Vapour/Vapeur,12,2000,PI12,0.02,14,3,0.052,0.01,
Vapour/Vapeur,1,2001,GE2,0.02,90,5,0.276,0.015,
Vapour/Vapeur,1,2001,GE3,0.02,27,4,0.08,0.011,
Vapour/Vapeur,1,2001,GE4,0.01,96,5,0.169,0.009,
Vapour/Vapeur,1,2001,GE6,0.01,65,4,0.142,0.01,
Vapour/Vapeur,1,2001,GE7,0.01,421,9,1.16,0.025,
Vapour/Vapeur,1,2001,LE1,0.02,45,4,0.155,0.014,
Vapour/Vapeur,1,2001,LE2,0.01,44,4,0.096,0.009,
Vapour/Vapeur,1,2001,LE3,0.01,4,3,0.011,0.008,
Vapour/Vapeur,1,2001,LE4,0.02,8,3,0.026,0.01,
Vapour/Vapeur,1,2001,LE7,0.02,5,3,0.02,0.013,
Vapour/Vapeur,1,2001,LE8,0.01,6,3,0.02,0.01,
Vapour/Vapeur,1,2001,OA2,0.01,21,4,0.056,0.01,
Vapour/Vapeur,1,2001,PI12,0.02,43,4,0.209,0.02,
Vapour/Vapeur,2,2001,GE2,0.01,65,4,0.215,0.015,
Vapour/Vapeur,2,2001,GE3,0.01,25,4,0.08,0.012,
Vapour/Vapeur,2,2001,GE4,0.01,112,5,0.292,0.014,
Vapour/Vapeur,2,2001,GE6,0.01,67,5,0.138,0.009,
Vapour/Vapeur,2,2001,GE7,0.01,161,6,0.435,0.016,
Vapour/Vapeur,2,2001,LE1,0.02,65,4,0.246,0.017,
Vapour/Vapeur,2,2001,LE2,0.01,55,4,0.166,0.013,
Vapour/Vapeur,2,2001,LE3,0.01,2,3,0.002,0.004,
Vapour/Vapeur,2,2001,LE4,0.01,6,3,0.017,0.009,
Vapour/Vapeur,2,2001,LE7,0.02,5,3,0.019,0.012,
Vapour/Vapeur,2,2001,LE8,0.02,2,3,0.008,0.011,
Vapour/Vapeur,2,2001,OA2,0.01,14,3,0.039,0.009,
Vapour/Vapeur,2,2001,PI12,0.02,23,4,0.109,0.017,
Vapour/Vapeur,3,2001,GE2,0.02,14,3,0.05,0.012,
Vapour/Vapeur,3,2001,GE3,0.02,15,3,0.056,0.013,
Vapour/Vapeur,3,2001,GE4,0.02,117,5,0.436,0.02,
Vapour/Vapeur,3,2001,GE6,0.01,57,4,0.168,0.013,
Vapour/Vapeur,3,2001,GE7,0.02,313,8,1.12,0.028,
Vapour/Vapeur,3,2001,LE1,0.02,13,3,0.054,0.014,
Vapour/Vapeur,3,2001,LE2,0.02,45,4,0.162,0.015,
Vapour/Vapeur,3,2001,LE3,0.02,4,3,0.018,0.013,
Vapour/Vapeur,3,2001,LE4,0.02,4,3,0.015,0.011,
Vapour/Vapeur,3,2001,LE7,0.02,3,3,0.016,0.015,
Vapour/Vapeur,3,2001,LE8,0.02,1,3,0.004,0.012,
Vapour/Vapeur,3,2001,OA2,0.02,10,3,0.038,0.012,
Vapour/Vapeur,3,2001,PI12,0.02,65,4,0.214,0.015,
Vapour/Vapeur,4,2001,GE2,0.02,35,4,0.126,0.014,
Vapour/Vapeur,4,2001,GE3,0.02,29,4,0.105,0.013,
Vapour/Vapeur,4,2001,GE4,0.01,46,5,0.056,0.006,
Vapour/Vapeur,4,2001,GE6,0.02,47,4,0.161,0.014,
Vapour/Vapeur,4,2001,GE7,0.02,316,8,1.14,0.029,
Vapour/Vapeur,4,2001,LE1,0.02,20,3,0.073,0.013,
Vapour/Vapeur,4,2001,LE2,0.02,88,5,0.371,0.021,
Vapour/Vapeur,4,2001,LE3,0.02,7,3,0.032,0.014,
Vapour/Vapeur,4,2001,LE4,0.02,8,3,0.033,0.013,
Vapour/Vapeur,4,2001,LE7,0.02,-1,3,-0.002,0.013,
Vapour/Vapeur,4,2001,LE8,0.02,-1,3,-0.003,0.012,
Vapour/Vapeur,4,2001,OA2,0.02,7,3,0.026,0.012,
Vapour/Vapeur,4,2001,PI12,0.02,50,4,0.221,0.018,
Vapour/Vapeur,5,2001,GE2,0.02,36,4,0.382,0.04,
Vapour/Vapeur,5,2001,GE3,0.02,21,3,0.214,0.036,
Vapour/Vapeur,5,2001,GE4,0.02,34,4,0.273,0.03,
Vapour/Vapeur,5,2001,GE6,0.02,36,4,0.331,0.035,
Vapour/Vapeur,5,2001,GE7,0.02,238,7,2.28,0.067,
Vapour/Vapeur,5,2001,LE1,0.02,28,4,0.283,0.037,
Vapour/Vapeur,5,2001,LE2,0.02,78,5,0.614,0.037,
Vapour/Vapeur,5,2001,LE3,0.02,12,3,0.099,0.027,
Vapour/Vapeur,5,2001,LE4,0.02,7,3,0.062,0.026,
Vapour/Vapeur,5,2001,LE7,0.02,3,3,0.025,0.027,
Vapour/Vapeur,5,2001,LE8,0.02,5,3,0.039,0.024,
Vapour/Vapeur,5,2001,OA2,0.02,4,3,0.037,0.03,
Vapour/Vapeur,5,2001,PI12,0.02,72,5,0.679,0.043,
Vapour/Vapeur,6,2001,GE2,0.02,31,4,0.337,0.041,
Vapour/Vapeur,6,2001,GE3,0.02,11,3,0.119,0.034,
Vapour/Vapeur,6,2001,GE4,0.02,20,3,0.204,0.035,
Vapour/Vapeur,6,2001,GE6,0.02,29,4,0.296,0.038,
Vapour/Vapeur,6,2001,GE7,0.02,63,4,,,
Vapour/Vapeur,6,2001,LE1,0.02,25,4,0.253,0.037,
Vapour/Vapeur,6,2001,LE2,0.02,67,4,0.511,0.034,
Vapour/Vapeur,6,2001,LE3,0.02,5,3,0.05,0.029,
Vapour/Vapeur,6,2001,LE4,0.02,6,3,0.049,0.024,
Vapour/Vapeur,6,2001,LE7,0.02,3,3,0.026,0.031,
Vapour/Vapeur,6,2001,LE8,0.02,1,3,0.013,0.029,
Vapour/Vapeur,6,2001,OA2,0.02,6,3,0.061,0.032,
Vapour/Vapeur,6,2001,PI12,0.02,41,4,0.345,0.033,
Vapour/Vapeur,7,2001,GE2,0.02,66,4,0.563,0.034,
Vapour/Vapeur,7,2001,GE3,0.02,10,3,0.085,0.024,
Vapour/Vapeur,7,2001,GE4,0.02,20,3,0.178,0.028,
Vapour/Vapeur,7,2001,GE6,0.02,21,3,0.185,0.027,
Vapour/Vapeur,7,2001,GE7,0.02,94,4,0.828,0.039,
Vapour/Vapeur,7,2001,LE1,0.02,44,4,0.411,0.033,
Vapour/Vapeur,7,2001,LE2,0.02,57,4,0.483,0.032,
Vapour/Vapeur,7,2001,LE3,0.02,43,4,0.364,0.03,
Vapour/Vapeur,7,2001,LE4,0.02,5,3,0.048,0.024,
Vapour/Vapeur,7,2001,LE7,0.02,2,3,0.014,0.024,
Vapour/Vapeur,7,2001,LE8,0.02,1,3,0.008,0.023,
Vapour/Vapeur,7,2001,OA2,0.02,1,3,0.007,0.022,
Vapour/Vapeur,7,2001,PI12,0.01,38,3,0.171,0.016,
Vapour/Vapeur,8,2001,GE2,0.02,56,4,0.612,0.041,
Vapour/Vapeur,8,2001,GE3,0.02,9,3,0.094,0.029,
Vapour/Vapeur,8,2001,GE4,0.01,16,3,0.119,0.022,
Vapour/Vapeur,8,2001,GE6,0.02,33,3,0.343,0.034,
Vapour/Vapeur,8,2001,GE7,0.02,64,4,,,
Vapour/Vapeur,8,2001,LE1,0.02,30,3,0.299,0.033,
Vapour/Vapeur,8,2001,LE2,0.02,67,4,0.567,0.034,
Vapour/Vapeur,8,2001,LE3,0.02,9,3,0.092,0.027,
Vapour/Vapeur,8,2001,LE4,0.01,14,3,0.069,0.015,
Vapour/Vapeur,8,2001,LE7,0.02,1,3,0.013,0.024,
Vapour/Vapeur,8,2001,LE8,0.02,0,3,0,0.025,
Vapour/Vapeur,8,2001,OA2,0.02,5,3,0.057,0.03,
Vapour/Vapeur,8,2001,PI12,0.01,23,3,0.145,0.02,
Vapour/Vapeur,9,2001,GE2,0.02,56,4,0.598,0.04,
Vapour/Vapeur,9,2001,GE3,0.02,23,3,0.244,0.033,
Vapour/Vapeur,9,2001,GE4,0.02,7,3,0.052,0.02,
Vapour/Vapeur,9,2001,GE6,0.02,24,3,0.258,0.034,
Vapour/Vapeur,9,2001,GE7,0.02,120,5,,,
Vapour/Vapeur,9,2001,LE1,0.02,23,3,0.223,0.03,
Vapour/Vapeur,9,2001,LE2,0.02,74,4,0.592,0.033,
Vapour/Vapeur,9,2001,LE3,0.02,4,3,0.035,0.021,
Vapour/Vapeur,9,2001,LE4,0.02,2,3,0.018,0.019,
Vapour/Vapeur,9,2001,LE7,0.02,1,3,0.011,0.032,
Vapour/Vapeur,9,2001,LE8,0.02,0,2,-0.001,0.021,
Vapour/Vapeur,9,2001,OA2,0.02,7,3,0.065,0.026,
Vapour/Vapeur,9,2001,PI12,0.02,21,3,0.077,0.011,
Vapour/Vapeur,10,2001,GE2,0.02,87,4,0.326,0.016,
Vapour/Vapeur,10,2001,GE3,0.02,27,3,0.095,0.011,
Vapour/Vapeur,10,2001,GE4,0.02,33,3,,,
Vapour/Vapeur,10,2001,GE6,0.02,21,3,0.076,0.011,
Vapour/Vapeur,10,2001,GE7,0.02,35,3,0.127,0.012,
Vapour/Vapeur,10,2001,LE1,0.02,21,3,0.091,0.013,
Vapour/Vapeur,10,2001,LE2,0.02,60,4,0.242,0.015,
Vapour/Vapeur,10,2001,LE3,0.02,8,3,0.034,0.011,
Vapour/Vapeur,10,2001,LE4,0.02,10,3,0.045,0.012,
Vapour/Vapeur,10,2001,LE7,0.02,3,3,0.012,0.01,
Vapour/Vapeur,10,2001,LE8,0.02,4,3,0.018,0.011,
Vapour/Vapeur,10,2001,OA2,0.02,8,3,0.033,0.012,
Vapour/Vapeur,10,2001,PI12,0.02,20,3,0.091,0.014,
Vapour/Vapeur,11,2001,GE2,0.02,60,4,0.277,0.018,
Vapour/Vapeur,11,2001,GE3,0.02,31,3,0.143,0.015,
Vapour/Vapeur,11,2001,GE4,0.01,25,3,0.047,0.006,
Vapour/Vapeur,11,2001,GE6,0.02,63,4,0.269,0.017,
Vapour/Vapeur,11,2001,GE7,0.02,342,7,1.62,0.035,
Vapour/Vapeur,11,2001,LE1,0.02,34,3,0.145,0.014,
Vapour/Vapeur,11,2001,LE2,0.02,61,4,0.274,0.017,
Vapour/Vapeur,11,2001,LE3,0.02,6,3,0.026,0.012,
Vapour/Vapeur,11,2001,LE4,0.02,8,3,0.036,0.012,
Vapour/Vapeur,11,2001,LE7,0.02,5,3,0.019,0.01,
Vapour/Vapeur,11,2001,LE8,0.02,3,3,0.015,0.011,
Vapour/Vapeur,11,2001,OA2,0.02,12,3,0.048,0.011,
Vapour/Vapeur,11,2001,PI12,0.02,77,4,0.351,0.019,
Vapour/Vapeur,12,2001,GE2,0.02,134,5,0.419,0.016,
Vapour/Vapeur,12,2001,GE3,0.02,31,3,0.094,0.01,
Vapour/Vapeur,12,2001,GE4,0.02,65,4,0.195,0.012,
Vapour/Vapeur,12,2001,GE6,0.02,91,4,0.248,0.012,
Vapour/Vapeur,12,2001,GE7,0.02,183,6,0.566,0.018,
Vapour/Vapeur,12,2001,LE1,0.02,57,4,0.215,0.014,
Vapour/Vapeur,12,2001,LE2,0.02,49,4,0.198,0.015,
Vapour/Vapeur,12,2001,LE3,0.02,7,3,0.027,0.011,
Vapour/Vapeur,12,2001,LE4,0.02,9,3,0.034,0.01,
Vapour/Vapeur,12,2001,LE7,0.02,3,3,0.015,0.012,
Vapour/Vapeur,12,2001,LE8,0.02,5,3,0.017,0.01,
Vapour/Vapeur,12,2001,OA2,0.02,6,3,0.025,0.011,
Vapour/Vapeur,12,2001,PI12,0.02,53,4,0.205,0.014,
Vapour/Vapeur,1,2002,GE2,0.01,349,8,0.265,0.012,
Vapour/Vapeur,1,2002,GE3,0.02,118,5,0.139,0.012,
Vapour/Vapeur,1,2002,GE4,0.01,80,4,0.108,0.006,
Vapour/Vapeur,1,2002,GE6,0.02,216,6,0.532,0.018,
Vapour/Vapeur,1,2002,GE7,0.02,593,10,1.82,0.033,
Vapour/Vapeur,1,2002,LE1,0.02,17,3,0.622,0.023,
Vapour/Vapeur,1,2002,LE2,0.02,12,3,0.235,0.014,
Vapour/Vapeur,1,2002,LE3,0.02,3,3,0.045,0.011,
Vapour/Vapeur,1,2002,LE4,0.02,0,3,0.052,0.012,
Vapour/Vapeur,1,2002,LE7,0.02,0,3,0.03,0.011,
Vapour/Vapeur,1,2002,LE8,0.02,-2,3,0.013,0.008,
Vapour/Vapeur,1,2002,OA2,0.02,16,3,0.06,0.011,
Vapour/Vapeur,1,2002,PI12,0.02,27,3,0.056,0.009,
Vapour/Vapeur,2,2002,GE2,0.01,69,4,0.603,0.022,
Vapour/Vapeur,2,2002,GE3,0.01,21,3,0.178,0.013,
Vapour/Vapeur,2,2002,GE4,0.01,69,4,0.343,0.013,
Vapour/Vapeur,2,2002,GE6,0.01,44,4,0.506,0.015,
Vapour/Vapeur,2,2002,GE7,0.01,130,6,1.34,0.027,
Vapour/Vapeur,2,2002,LE1,0.02,26,3,0.403,0.02,
Vapour/Vapeur,2,2002,LE2,0.02,16,3,0.202,0.014,
Vapour/Vapeur,2,2002,LE3,0.02,1,3,0.05,0.011,
Vapour/Vapeur,2,2002,LE4,0.02,-2,3,0.045,0.013,
Vapour/Vapeur,2,2002,LE7,0.02,-5,3,0.022,0.012,
Vapour/Vapeur,2,2002,LE8,0.02,-3,3,0.007,0.009,
Vapour/Vapeur,2,2002,OA2,0.02,4,3,0.045,0.009,
Vapour/Vapeur,2,2002,PI12,0.01,33,4,0.165,0.014,
Vapour/Vapeur,3,2002,GE2,0.02,36,4,0.204,0.015,
Vapour/Vapeur,3,2002,GE3,0.01,21,3,0.059,0.01,
Vapour/Vapeur,3,2002,GE4,0.02,48,4,0.227,0.014,
Vapour/Vapeur,3,2002,GE6,0.01,36,4,0.208,0.012,
Vapour/Vapeur,3,2002,GE7,0.02,196,6,0.535,0.019,
Vapour/Vapeur,3,2002,LE1,0.02,46,4,0.315,0.017,
Vapour/Vapeur,3,2002,LE2,0.02,14,3,0.14,0.014,
Vapour/Vapeur,3,2002,LE3,0.02,-3,3,0.041,0.012,
Vapour/Vapeur,3,2002,LE4,0.02,0,3,0.006,0.011,
Vapour/Vapeur,3,2002,LE7,0.02,-3,3,0.003,0.011,
Vapour/Vapeur,3,2002,LE8,0.02,-5,3,0.006,0.011,
Vapour/Vapeur,3,2002,OA2,0.02,4,3,0.017,0.009,
Vapour/Vapeur,3,2002,PI12,0.01,163,6,0.169,0.012,
Vapour/Vapeur,4,2002,GE2,0.02,24,3,0.114,0.012,
Vapour/Vapeur,4,2002,GE3,0.02,23,3,0.096,0.011,
Vapour/Vapeur,4,2002,GE4,0.02,23,3,0.234,0.017,
Vapour/Vapeur,4,2002,GE6,0.02,359,8,0.104,0.011,
Vapour/Vapeur,4,2002,GE7,0.02,44,3,0.693,0.021,
Vapour/Vapeur,4,2002,LE1,0.02,54,4,0.116,0.013,
Vapour/Vapeur,4,2002,LE2,0.02,13,3,0.227,0.016,
Vapour/Vapeur,4,2002,LE3,0.02,11,3,0.007,0.011,
Vapour/Vapeur,4,2002,LE4,0.02,4,3,0.034,0.012,
Vapour/Vapeur,4,2002,LE7,0.02,5,3,0.012,0.011,
Vapour/Vapeur,4,2002,LE8,0.02,5,3,,,Saturated/Saturée
Vapour/Vapeur,4,2002,OA2,0.02,86,4,0.028,0.011,
Vapour/Vapeur,4,2002,PI12,0.02,43,3,0.161,0.013,
Vapour/Vapeur,5,2002,GE2,0.02,28,3,0.267,0.027,
Vapour/Vapeur,5,2002,GE3,0.02,28,3,0.12,0.019,
Vapour/Vapeur,5,2002,GE4,0.02,36,3,0.12,0.013,
Vapour/Vapeur,5,2002,GE6,0.02,119,5,0.373,0.025,
Vapour/Vapeur,5,2002,GE7,0.02,41,3,1.42,0.047,
Vapour/Vapeur,5,2002,LE1,0.02,37,3,0.438,0.035,
Vapour/Vapeur,5,2002,LE2,0.01,5,3,0.399,0.025,
Vapour/Vapeur,5,2002,LE3,0.01,5,3,0.045,0.016,
Vapour/Vapeur,5,2002,LE4,0.01,1,2,0.044,0.019,
Vapour/Vapeur,5,2002,LE7,0.02,4,3,-0.018,0.027,
Vapour/Vapeur,5,2002,LE8,0.02,7,3,0.009,0.019,
Vapour/Vapeur,5,2002,OA2,0.02,53,4,0.052,0.025,
Vapour/Vapeur,5,2002,PI12,0.01,29,3,0.18,0.023,
