HC_ID#,Description,Collection_date,Wet_Weight_Poids_Humide_g,Dry_Weight_per_Poids_sec_g,Count_Date_per_date_de_comptage,Cs_137_Concentration_Bq_per_Kg_WET_HUMIDE,Cs_137_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,Cs_137_MDC_CMD_Bq_per_kg_WET_HUMIDE,Cs_134_Concentration_Bq_per_Kg_WET_HUMIDE,Cs_134_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,Cs_134_MDC_CMD_Bq_per_kg_WET_HUMIDE,K_40_Concentration_Bq_per_Kg_WET_HUMIDE,K_40_Uncertainty_Incertitude_Bq_per_Kg_WET_HUMIDE,K_40_MDC_CMD_Bq_per_kg_WET_HUMIDE,Cs_137_Concentration_Bq_per_Kg_DRY_SEC,Cs_137_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,Cs_137_MDC_CMD_Bq_per_kg_DRY_SEC,Cs_134_Concentration_Bq_per_Kg_DRY_SEC,Cs_134_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,Cs_134_MDC_CMD_Bq_per_kg_DRY_SEC,K_40_Concentration_Bq_per_kg_DRY_SEC,K_40_Uncertainty_Incertitude_Bq_per_Kg_DRY_SEC,K_40_MDC_CMD_Bq_per_kg_DRY_SEC
40009,Chanterelle,2017-08-27,154.8177167,11.2962,12/13/2017,ND,­,0.342338081,ND,­,0.264827572,114.928707,7.125579835,4.921271392,ND,­,4.69,ND,­,3.63,1575,97.7,67.4
39996,Lobster,2017-08-02,67.71771667,4.8968,12/8/2017,ND,­,0.782660766,ND,­,0.634988923,107.3574296,8.373879509,10.05054561,ND,­,10.8,ND,­,8.78,1485,116,139
39997,Lobster,2017-08-02,152.6177167,13.5633,12/8/2017,ND,­,0.399691473,ND,­,0.307959004,115.5829112,7.281723408,5.40369767,ND,­,4.5,ND,­,3.47,1301,82,61
39998,Lobster,2017-08-04,157.7177167,16.4588,12/8/2017,0.408324451,0.12658058,0.425443643,ND,­,0.348724298,120.4683938,7.589508809,5.607486709,3.9,1.21,4.08,ND,­,3.34,1154,72.7,53.7
40003,Lobster,2017-08-12,147.9177167,19.7955,12/11/2017,1.949056587,0.192956602,0.486757108,ND,­,0.344786285,131.7306705,8.299032243,5.812691132,14.6,1.44,3.64,ND,­,2.58,984,62,43.4
40004,Lobster,2017-08-16,99.21771667,10.401,12/11/2017,0.873835872,0.183505533,0.571470519,ND,­,0.41323265,128.1817444,8.331813387,7.238626569,8.34,1.75,5.45,ND,­,3.94,1223,79.5,69.1
40006,Lobster,2017-08-19,269.2177167,38.0689,12/12/2017,2.752047708,0.200899483,0.308300661,ND,­,0.21172455,152.4075031,8.687227679,3.617889684,19.5,1.42,2.18,ND,­,1.5,1078,61.4,25.6
40007,Lobster,2017-08-26,138.3177167,13.941,12/12/2017,1.475588268,0.177070592,0.504635282,ND,­,0.361486592,131.4025451,8.27836034,6.277576155,14.6,1.76,5.01,ND,­,3.59,1304,82.1,62.3
40008,Lobster,2017-08-26,63.31771667,15.3855,12/12/2017,1.122908465,0.269498031,1.043941625,ND,­,0.758081664,283.6504685,17.58632905,11.96031758,4.62,1.11,4.3,ND,­,3.12,1167,72.4,49.2
40013,Lobster,2017-10-08,130.3177167,21.005,12/14/2017,1.560800827,0.218512116,0.492642149,ND,­,0.383677686,151.8795794,9.416533925,7.233859095,9.68,1.36,3.06,ND,­,2.38,942,58.4,44.9
39990,Orange Bolete,2017-07-06,49.21771667,4.774,12/6/2017,ND,­,1.076848005,ND,­,0.772079702,96.50996271,8.975426532,13.26758014,ND,­,11.1,ND,­,7.96,995,92.5,137
40010,Orange Bolete,2017-08-27,73.11771667,7.6993,12/13/2017,1.542717759,0.246834841,0.748108701,ND,­,0.519709883,80.66034155,6.775468691,9.533941044,14.7,2.34,7.1,ND,­,4.94,766,64.3,90.5
40014,White Pine Bolete,2017-10-08,173.2177167,13.5365,12/14/2017,16.53987857,0.909693321,0.39372416,ND,­,0.26556175,61.21602457,4.407553769,4.287090341,212,11.6,5.04,ND,­,3.4,783,56.4,54.9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"ND: Non detect / 
non détecté",,,,,,,,,,,,,,,,,,,,,,,
MDC: Minimal detectable concentration,,,,,,,,,,,,,,,,,,,,,,,
CMD: Concentration minimale détectable,,,,,,,,,,,,,,,,,,,,,,,
