Created: 2016-12-01T12:24:15.829012
Name: Notice_of_Compliance_Veterinary_Species_
Original URL: https://www.canada.ca/content/dam/hc-sc/documents/services/drugs-health-products/drug-products/notice-compliance/database/noc_vet_species.txt
Package ID: 98ee168e-dcae-47ff-b136-104f7af212e2
Keywords: ['notice of compliance listings', 'notices of compliance with conditions']
Notes: A Notice of Compliance is a notification, issued pursuant to paragraph C.08.004(1)(a), indicating that a manufacturer has complied with sections C.08.002 or C.08.003 and C.08.005.1 of the Food and Drug Regulations. Notices of Compliance are issued to a manufacturer following the satisfactory review of a submission.

The NOC extract files contain Health Canada authorization dates for all drugs dating back to 1994 that have received an NOC.  There are four types of NOCs: Biological, Prescription, Nonprescription and Veterinary.  This data extract contains information on Notice of Compliance Veterinary Species.

-------------------------------
Extracted Text:
"6351","SWINE","PORCINS"
"6352","DOGS","CHIENS"
"6352","CATS","CHATS"
"6353","DOGS","CHIENS"
"6353","CATS","CHATS"
"6354","DOGS","CHIENS"
"6354","CATS","CHATS"
"6356","FISH","POISSONS"
"6357","CATTLE","BOVINS"
"6357","SWINE","PORCINS"
"6358","CATTLE","BOVINS"
"6358","SWINE","PORCINS"
"6359","BROILER CHICKENS","POULETS À GRILLER"
"6360","EQUINE","ÉQUINS"
"6361","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6362","SWINE","PORCINS"
"6362","CHICKENS","POULETS"
"6362","TURKEYS","DINDES"
"6363","TURKEYS","DINDES"
"6363","CHICKENS","POULETS"
"6363","SWINE","PORCINS"
"6364","CATTLE","BOVINS"
"6365","TURKEYS","DINDES"
"6365","CHICKENS","POULETS"
"6365","SWINE","PORCINS"
"6366","DOGS","CHIENS"
"6366","CATS","CHATS"
"6367","SWINE","PORCINS"
"6367","CHICKENS","POULETS"
"6367","TURKEYS","DINDES"
"6368","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6369","HORSES","CHEVAUX"
"6389","DOGS","CHIENS"
"6389","CATS","CHATS"
"6390","DOGS","CHIENS"
"6390","CATS","CHATS"
"6393","CANINE","CANINS"
"6399","CATTLE","BOVINS"
"6399","SWINE","PORCINS"
"6400","CANINE","CANINS"
"6401","CANINE","CANINS"
"6402","CANINE","CANINS"
"6403","CANINE","CANINS"
"6404","CANINE","CANINS"
"6405","ELK","ÉLANS"
"6405","CARIBOU","CARIBOUS"
"6405","MULE DEER","CERF MULET"
"6405","WHITE TAILED DEER","CERFS DE VIRGINIE"
"6406","BROILER CHICKENS","POULETS À GRILLER"
"6407","DOGS","CHIENS"
"6408","DOGS","CHIENS"
"6409","HORSES","CHEVAUX"
"6409","DOGS","CHIENS"
"6410","DOGS","CHIENS"
"6410","CATS","CHATS"
"6411","DOGS","CHIENS"
"6411","CATS","CHATS"
"6412","DOGS","CHIENS"
"6412","CATS","CHATS"
"6413","DOGS","CHIENS"
"6413","CATS","CHATS"
"6414","DOGS","CHIENS"
"6415","DOGS","CHIENS"
"6416","DOGS","CHIENS"
"6417","DOGS","CHIENS"
"6418","DOGS","CHIENS"
"6419","SWINE","PORCINS"
"6419","LAMB","AGNEAUX"
"6419","CATTLE","BOVINS"
"6419","CHINCHILLA, MINK","CHINCHILLAS, VISONS"
"6419","CHICKENS","POULETS"
"6419","TURKEYS","DINDES"
"6420","SWINE","PORCINS"
"6420","LAMB","AGNEAUX"
"6420","CATTLE","BOVINS"
"6420","CHINCHILLA, MINK","CHINCHILLAS, VISONS"
"6420","CHICKENS","POULETS"
"6420","TURKEYS","DINDES"
"6421","SWINE","PORCINS"
"6423","BROILER CHICKENS","POULETS À GRILLER"
"6435","CATTLE","BOVINS"
"6435","SWINE","PORCINS"
"6436","CATTLE (excluding lactating dairy cows)","BOVINS (EXCLUANT LES VACHES LAITIÈRES EN LACTATION)"
"6437","CATTLE","BOVINS"
"6438","EQUINE","ÉQUINS"
"6439","TURKEYS","DINDES"
"6440","DOGS","CHIENS"
